id,score,descendants,new_score,new_descendants
35747379,10,0,191,79
35748052,26,2,164,30
35748115,8,0,69,48
35748972,9,1,48,25
35749034,7,4,18,22
35749366,7,1,679,142
35749750,7,0,11,1
35749763,37,26,237,291
35750585,9,1,20,17
35752298,10,1,21,13
35752362,7,0,36,38
35752433,11,3,173,119
35752714,10,0,126,20
35752719,14,5,129,161
35752809,6,2,12,10
35753038,6,0,10,
35753106,6,0,288,119
35753838,47,28,420,244
35753949,23,2,103,117
35753965,9,2,16,6
35753993,6,4,38,69
35754138,6,2,39,37
35754993,9,1,87,43
35755021,8,3,54,111
35755501,7,1,96,48
35755630,12,3,67,32
35755747,6,4,66,41
35755964,6,0,107,107
35756203,27,10,136,71
35757150,7,1,226,34
35757863,7,1,9,4
35758031,11,2,18,4
35758842,6,1,552,311
35760624,7,0,63,18
35761713,7,7,15,16
35762284,85,29,251,172
35762826,25,13,68,75
35762872,24,21,51,85
35763141,15,2,109,55
35763483,38,8,301,106
35764749,12,11,49,101
35765393,11,3,20,31
35765786,6,0,39,50
35765882,43,11,161,45
35765921,17,14,75,106
35766570,8,0,422,202
35766741,12,1,56,8
35766747,22,5,111,97
35766988,6,2,53,33
35768477,6,1,85,133
35768525,12,12,142,129
35768824,45,13,123,124
35770048,30,7,549,538
35771136,12,8,214,202
35771538,20,6,57,134
35771791,8,0,14,0
35771926,18,3,28,7
35771994,87,27,635,230
35772005,12,2,700,270
35772837,10,1,19,1
35773168,29,14,142,159
35773252,8,1,14,1
35773354,52,62,68,107
35773677,7,0,67,
35773706,6,12,34,115
35773707,6,14,359,418
35774093,80,61,152,181
35774107,8,4,111,48
35774142,22,2,65,36
35774193,6,0,25,20
35774202,6,0,10,2
35774540,10,0,243,392
35774730,23,2,266,137
35775084,29,18,65,95
35775172,7,1,7,0
35775222,19,19,24,25
35775704,12,1,424,211
35775748,11,2,129,111
35776480,11,2,183,89
35777812,7,3,28,19
35777848,13,3,29,4
35777959,10,11,44,44
35778041,38,7,72,21
35778633,7,0,20,6
35778717,11,2,14,3
35778743,20,2,46,57
35778775,6,0,10,0
35779455,8,3,17,14
35779552,13,5,45,75
35780291,7,0,59,38
35780517,14,4,120,111
35780812,6,0,49,3
35780941,22,7,186,142
35781051,6,0,115,119
35781637,10,4,82,39
35781743,42,30,154,195
35781977,11,4,28,16
35782630,28,0,375,27
35783509,6,1,6,1
35784067,39,19,45,28
35785231,6,3,148,281
35785255,6,2,178,408
35785294,8,0,10,0
35785944,6,1,92,37
35785986,6,1,10,3
35786554,7,2,11,6
35787000,33,27,43,90
35787029,12,7,39,49
35787070,8,0,10,1
35787080,59,5,467,210
35787102,73,38,285,285
35787114,6,1,173,24
35787195,74,25,280,258
35787287,6,4,208,358
35787864,8,0,17,1
35787953,24,14,52,61
35788120,56,41,190,238
35789248,6,1,26,3
35789379,6,1,16,5
35789427,10,5,10,
35789963,88,55,464,351
35790077,10,3,40,19
35790092,7,1,313,78
35790244,21,10,66,78
35790367,70,15,540,220
35790592,6,0,20,2
35791205,26,1,144,16
35791530,6,7,9,14
35792360,25,2,210,131
35792898,25,8,109,115
35792920,7,2,33,17
35793009,25,0,50,56
35793187,14,7,53,63
35793297,12,3,67,11
35793660,19,0,294,55
35793863,9,0,9,0
35794493,7,2,8,5
35795016,105,46,224,226
35795042,12,5,21,25
35795132,6,2,12,8
35795137,9,1,16,6
35795187,6,0,7,0
35796299,7,0,8,0
35796333,33,21,169,330
35796487,10,3,54,13
35799545,21,3,48,26
35799605,22,17,43,64
35799609,16,20,24,64
35799691,14,4,47,32
35800158,58,28,759,565
35800410,8,0,18,0
35800492,52,15,716,91
35800667,15,7,220,145
35800711,13,2,205,86
35800988,49,8,394,131
35801172,8,1,133,56
35801265,7,1,32,41
35801291,6,0,6,3
35801293,13,0,140,90
35802210,7,1,330,240
35802328,7,8,20,38
35802411,19,1,19,
35802730,18,0,91,59
35802849,9,2,11,2
35802866,7,0,24,1
35803096,6,1,44,19
35803511,13,3,38,25
35803522,14,1,66,13
35803624,36,21,80,134
35803649,14,0,14,1
35803770,9,1,36,13
35804220,30,8,76,22
35804381,8,1,12,1
35804469,9,1,26,2
35804556,13,1,120,32
35804759,6,1,56,52
35804829,43,2,44,2
35805097,6,0,6,0
35805690,35,3,35,1
35805913,20,9,22,10
35805987,9,4,9,4
35805995,10,4,10,4
35806035,14,2,14,2
35806138,43,1,43,1
35806143,6,0,7,0
35806197,7,1,8,1
35806345,31,1,31,1
